identifier;titulo;autor;co_autor;orientador;data;paginas;local_publicacao;subjects;modelo_trabalho;descricao;local_defesa
0415256062;Colonization of unfamiliar landscapes the archaeology of adaptation;Rockman, Marcy;;Steele, James;2003;xxiii, 248 p;;CC72.4 .C648 2003|Social archaeology.|Landscape archaeology.|Landscapes Social aspects History.|Land settlement History.|Colonization History.|Human beings Effect of environment on History.|ARQUEOLOGIA AMBIENTAL|ARQUEOLOGIA SOCIAL|ETNOARQUEOLOGIA|ARQUEOLOGIA DA PAISAGEM|COLONIZAÇÃO (ARQUEOLOGIA)|ADAPTAÇÃO|Adaptation (Biology) History.|Adaptability (Psychology) History.|Ethnoarchaeology.|Archaeology and history.|Archéologie sociale.|Archéologie du paysage.|Paysage Aspect social Histoire.|Colonisation intérieure Histoire.|Colonisation Histoire.|Homme Influence de l'environnement Histoire.|Adaptation (Biologie) Histoire.|Adaptation (Psychologie) Histoire.|Ethnoarchéologie.|Archéologie et histoire.|Kolonisatie.|Landschapsarcheologie.|Aanpassing.|Kulturanthropologie|Kolonisation|Neubesiedlung|Kongress|Archäologie|colonisation habitat homme (être humain)|adaptation (biologie) environnement sociobiologie.|archéologie extensive.|colonisation habitat homme (être humain) origines / 20e s.;Livro;This volume presents the archaeological & anthropological foundations of the landscape learning process. A series of case studies examines interpretations of landscape learning from the movements of pre-modern humans into Europe, post-glacial migration into America & the English colonists at Jamestown;London Routledge
8571130795;Páginas catarinenses;Matos, Odilon Nogueira de;;;1993;104 p;SANTA CATARINA;COLONIZAÇÃO HISTÓRIA SANTA CATARINA;Livro;2. ed;Campinas Pontes
00049;A colonização agrícola holandesa no Estado de São Paulo Holambra I (contribuição à geografia do povoamento do Estado de São Paulo [por];Abreu, Adílson Avansi de;;;1971;114 p;Brazil São Paulo (State);HD1516.B8 A62|Agricultural colonies Brazil São Paulo (State) Case studies|Dutch Brazil Case studies|COLÔNIA AGRÍCOLA SÃO PAULO|COLONIZAÇÃO SÃO PAULO|IMIGRAÇÃO SÃO PAULO|HOLANDESES SÃO PAULO;Livro;"""Trabalho de mestrado ... Depto. de Geografia-USP.""";São Paulo
00382;Artifacts of the Spanish colonies of Florida and the Caribbean, 1500 - 1800 Volume 2 portable personal possessions;Deagan, Kathleen;;;2002;xxvii, 372 p.;"FLÓRIDA;ESTADOS UNIDOS;CARIBE;AMÉRICA ESPANHOLA";"ARTEFATOS (ARQUEOLOGIA) FLÓRIDA;ESTADOS UNIDOS;CARIBE;AMÉRICA ESPANHOLA|COLONIZAÇÃO FLÓRIDA;ESTADOS UNIDOS;CARIBE;AMÉRICA ESPANHOLA|CULTURA MATERIAL FLÓRIDA;ESTADOS UNIDOS;CARIBE;AMÉRICA ESPANHOLA|CULTURA MATERIAL (ASPECTOS RELIGIOSOS) CARIBE;AMÉRICA ESPANHOLA; FLÓRIDA; ESTADOS UNIDOS|AMÉRICA ESPANHOLA|CARIBE";Livro;;Washington D. C.
00392;"Vozes dos leaes portuguezes; ou, Fiel echo das suas novas acclamações á religião, a el-rei, e ás cortes destes reinos, com a franca exposição que a estas fazem das suas queixas, e remedios que lhes implorão dos seus males";Dulac, Antônio Maximino;;;1820;v.1: xv, 308p.v.2: 316p., 1 fl.s.n;;COLONIZAÇÃO PORTUGUESES SÉCULO 19;Livro;;Lisboa Impressão Regia
9788578911775;Imigração e colonização conflitos pela terra no Paraná e São Paulo entre os séculos XIX e XX;Priori, Angelo;;Bertonha, João Fábio;2015;222 p;SÃO PAULO PARANÁ;MIGRAÇÃO ASPECTOS HISTÓRICOS ASPECTOS ECONÔMICOS SÃO PAULO PARANÁ|COLONIZAÇÃO SÃO PAULO PARANÁ;Livro;;Guarapuava Editora Unicentro
8585866802;História do Rio Grande do Sul;Lazzarotto, Danilo;;;2001;211 p;RIO GRANDE DO SUL;HISTÓRIA RIO GRANDE DO SUL|COLONIZAÇÃO|IMIGRAÇÃO|REVOLUÇÃO FARROUPILHA|DESENVOLVIMENTO CULTURAL;Livro;7. ed;Ijuí, RS Ed.
00554;Colonial insitutions, slavery, inequality, and development evidence from São Paulo, Brazil;Summerhill, William;;;2010;1 v;"BRASIL;SÃO PAULO (SP)";"COLONIZAÇÃO BRASIL;SÃO PAULO (SP)|ESCRAVIDÃO|DESIGUALDADES";Livro;;[S.l. s.n.]
00001;As Américas e a civilização estudos de antropologia da civilização, processo de formação e causas do do desenvolvimento desigual dos povos americanos;Ribeiro, Darcy;;;1979;580 p;AMÉRICA;COLONIZAÇÃO AMÉRICA|HISTÓRIA DA AMÉRICA|ANTROPOLOGIA CULTURAL E SOCIAL;Livro;3. ed;Petropolis Vozes
00215;O sol e a sombra política e administração na América Portuguesa do século XVIII;Souza, Laura de Mello e;;;2006;505 p;Brazil;"F2528 .S68 2006|Governors Brazil History 18th century|ADMINISTRAÇÃO PÚBLICA SÉCULO 18 BRASIL|PERÍODO COLONIAL (1500-1822) (ASPECTOS ECONÔMICOS) BRASIL|POLÍTICA ECONÔMICA BRASIL|HISTÓRIA DO BRASIL SÉCULO 18|POLÍTICA E GOVERNO SÉCULO 18 BRASIL|COLONIZAÇÃO BRASIL;PORTUGAL";Livro;;São Paulo Companhia
9789724418117;O império da visão a fotografia no contexto colonial português (1860-1960);Vicente, Filipa Lowndes;;;2014;503 p;Portugal;"TR83 .I56 2014|Photography Colonies Portugal History 19th century Congresses|Photography Political aspects Portugal History 20th century Congresses|Photography Political aspects Portugal History 19th century Congresses|Photography Colonies Portugal History 20th century Congresses|COLONIZAÇÃO SÉCULO 19;SÉCULO 20 PORTUGAL|FOTOGRAFIA SÉCULO 19;SÉCULO 20 PORTUGAL|Portugal Colonies History Congresses|Portugal Colonies History Congresses";Livro;Proceedings of a conference held in Lisbon, Portugal, Sept. 26-28, 2013;Lisboa
9185894133;Tropical colonization problems and achievements : the case of Chanchamayo and Satipo in Peru;Sjøholt, Peter;;;1988;xiii, 188 p;Peru Chanchamayo (Province);HD559.C54 S57 1988|Land settlement Peru Chanchamayo (Province)|Chanchamayo (Peru : Province) Economic conditions|COLONIZAÇÃO PERU|Land settlement Peru Satipo|Agriculture Economic aspects Peru Chanchamayo (Province)|Agriculture Economic aspects Peru Satipo|PERU (ASPECTOS ECONÔMICOS)|Satipo (Peru) Economic conditions|Chanchamayo (Peru : Province) Social conditions|Satipo (Peru) Social conditions;Livro;;Stockholm Institute of
00078;A colonização agrícola holandesa no estado de São Paulo Holambra I - contribuição à geografia do povoamento do estado de São Paulo;Abreu, Adílson Avansi de;;Mendes, Renato da Silveira;1970;115 p;;COLONIZAÇÃO;Tese;;São Paulo
00761;A colonização e as cidades à brasileira aspectos sociológicos da urbanização;Santos, Amália Cristovão dos;;Naruto, Minoru;2008;96 p;BRASIL;URBANIZAÇÃO ASPECTOS SOCIAIS BRASIL|COLONIZAÇÃO BRASIL;Livro;Trabalho Final de Graduação FAUUSP;São Paulo
9788532660527_(Brasil);Sair da grande noite ensaio sobre à África descolonizada;Mbembe, Achille;;Ribeiro, Fábio;2019;256 p;ÁFRICA;COLONIZAÇÃO HISTÓRIA ÁFRICA|POLÍTICA E GOVERNO ÁFRICA|PÓS-COLONIALISMO ÁFRICA|ÁFRICA CONDIÇÕES SOCIAIS;Livro;Tradução de: Sortir de la grande nuit - essai sur l'Afrique décolonisée;Petrópolis Vozes
9788598325699;A corte e o mundo uma história do ano em que a família real portuguesa chegou ao Brasil;Slemian, Andréa;;Pimenta, João Paulo G.;2008;180 p.;PORTUGAL;HISTÓRIA MODERNA SÉCULO 19|HISTÓRIA DO BRASIL SÉCULO 19|PERÍODO COLONIAL (1500-1822)|COLONIZAÇÃO SÉCULO 19 PORTUGAL|HISTÓRIA DA EUROPA SÉCULO 19|HISTÓRIA DA AMÉRICA SÉCULO 19;Livro;;São Paulo Alameda
00285;Aventura de Robinson Crusoe começa na Bahia;Prado, Maria Lígia Coelho;;;2009;p. 31-36;;Defoe, Daniel 1660-1731|Aventuras de Hobinson Crusoe|LITERATURA INGLESA|COLONIZAÇÃO;Periódico / Parte de livro;;São Paulo
8522804252;A disputa da América na historiografia brasílica D. Domingos Loreto Couto e frei Gaspar da Madre de Deus;Kantor, Iris;;;2006;p. 71-80;;Couto, Domingos Loreto 1696-1762|Madre de Deus, Gaspar da, frei 1715-1800|HISTÓRIA DO BRASIL SÉCULO 18|COLONIZAÇÃO;Periódico / Parte de livro;;Niterói EdUFF
00021;Duas páginas de nossa história;;;;1954;160 p;BRASIL (HISTÓRIA);COLONIZAÇÃO|BRASIL (HISTÓRIA)|Brazil History Sources|Portugal Colonies Administration;Livro;1. Carta de Pero Vaz de Caminha -- 2. Regimento de Tomé de Souza -- 3. Regimento dos provedores -- 4. Regimento de Antonio Cardoso;Salvador Progresso
0874805791_(alk._paper);Dead giveaways indigenous testaments of colonial Mesoamerica and the Andes;Kellogg, Susan;;Restall, Matthew;1998;vi, 328 p;Andes Region;F1219 .D43 1998|Indians of Mexico History Sources|Indians of South America Andes Region History Sources|Wills Mexico|Wills Andes Region|COLONIZAÇÃO ASPECTOS HISTÓRICOS MÉXICO|ÍNDIOS ASPECTOS HISTÓRICOS MÉXICO AMÉRICA DO SUL|HISTÓRIA DO MÉXICO|TESTAMENTO ASPECTOS HISTÓRICOS MÉXICO|Mexico History Sources|Andes Region History Sources;Livro;;Salt Lake City
00657;Terra, trabalho e indústria na colônia de imigrantes Dona Francisca (Joinville), Santa Catarina, 1850-1920;Ferreira, Luiz Mateus da Silva;;Colistete, Renato Perim;2019;325 p;SANTA CATARINA;COLONIZAÇÃO SANTA CATARINA;Tese;Esta tese examina a experiência de colonização da colônia Dona Francisca, um dos maiores e mais importantes núcleos de colonização alemã do Brasil no século XIX. Fundada em 1851, na região nordeste de Santa Catarina, a colônia Dona Francisca, hoje município de Joinville, foi concebida e organizada pela Sociedade Colonizadora de 1849 em Hamburgo, empresa alemã especificamente constituída para colonizar parte das terras pertencentes ao patrimônio dotal da Princesa Dona Francisca em Santa Catarina. As principais fontes de arquivo utilizadas neste estudo compreendem um conjunto variado de documentos: títulos e listas de proprietários de terras, contratos de concessão, compra e venda de terrenos, correspondências de imigrantes, livros-caixa e documentos da direção da colônia, crônicas e jornais de época e relatórios da direção da Sociedade Colonizadora de 1849 em Hamburgo. As evidências apresentadas nesta tese questionam e complementam os estudos da história de Joinville e da formação econômica de Santa Catarina. Ao mesmo tempo, amplia o escopo de análise da história econômica do Brasil ao oferecer dados quantitativos, estatísticas e indicadores que permitem avaliar o grau de concentração da posse da terra e o desenvolvimento econômico inicial de Joinville, uma economia organizada a partir do trabalho livre do colono europeu e da pequena produção mercantil voltada aos abastecimentos interno e externo;São Paulo
0199733384_(pbk.);The web of empire English cosmopolitans in an age of expansion, 1560-1660;Games, Alison;;;2009;ix, 381 p;INGLATERRA;DA16 .G36 2009|Imperialism History|HISTÓRIA DA INGLATERRA 1560-1660|EXPANSÃO EUROPEIA ULTRAMARINA|DESCOBERTAS E EXPLORAÇÕES|VIAGENS E EXPLORAÇÕES INGLATERRA|COLONIZAÇÃO|Great Britain Colonies History|Great Britain Commerce History|Great Britain Commerce History|Great Britain Foreign relations|Great Britain Foreign relations|Great Britain Civilization|Great Britain Civilization;Livro;Before the grand tour: the domestication of travel -- The Mediterranean origins of the British Empire -- English overseas merchants in an expanding world of trade, 1590-1660 -- Virginia, 1607-1622 -- All the king's men: governors, consuls, and ambassadors, 1590-1650 -- Madagascar, 1635-1650 -- The cosmopolitan clergy, 1620-1660 -- Ireland, 1649-1660;Oxford New York
8571644675;Cultura e imperialismo;Said, Edward W.;"Bottmann, Denise; Mendes, Beatriz de Cássia";Barbosa, Ana Maria;1999;459 p;;IMPERIALISMO SÉCULO 19 SÉCULO 20|SOCIOLOGIA|CULTURA|ANTROPOLOGIA CULTURAL E SOCIAL|CULTURA ASPECTOS POLÍTICOS|POLÍTICA|COLONIZAÇÃO;Livro;Capa: Ettore Bottini;São Paulo Companhia
00167;Les colonies et la politique coloniale de la France;Duval, Jules;;;1864;xxi, 526 p;FRANÇA;COLÔNIAS (POLÍTICA) FRANÇA|COLONIZAÇÃO FRANÇA;Livro;;Paris Alphonse Pigoreau
00675;La conquête du Sahara essai de psychologie politique;Gautier, E. F. (Emile Félix);;;1935;260 p;SAARA;COLONIZAÇÃO SAARA|HISTÓRIA DA ÁFRICA;Livro;5. ed., revue et mise à jour;Paris A. Colin
9782818501092;Le livre noir du colonialisme XVIe-XXIe siècle : de l'extermination à la repentance;Ferro, Marc;;Beaufils, Thomas;2010;1119 p;;COLONIZAÇÃO HISTÓRIA|IMPERIALISMO HISTÓRIA;Livro;;Paris Pluriel
00727;Between familiarity and strangeness russian jews in Josep Sabah?s letters from the coast of Entre Ríos;Kanzepolsky, Adriana;;;2022;p. 25-46;AMÉRICA LATINA;Sabah, Josep|COLONIZAÇÃO AMÉRICA LATINA;Periódico / Parte de livro;Disponível em: https://www.revistas.usp.br/cllh. Acesso em: 3 março 2023;São Paulo
00395;Les voyages de découverte et les premiers établissements (XVe-XVIe sieclès) par Ch. André Julien [...];Julien, Charles André;;;1948;533 p;;FRANCESES|COLONIZAÇÃO|VIAGENS E EXPLORAÇÕES;Livro;;Paris Presses Universitaires
089680237X_(acid-free_paper);Portugal and Africa;Birmingham, David;;;1999;viii, 203 p;Portugal;DT36 .B56 1999|Kolonie|HISTÓRIA DA ÁFRICA (INFLUÊNCIA PORTUGUESA)|COLONIZAÇÃO|Portugal Colonies History|Africa, Portuguese-speaking History;Livro;Portugal's impact on Africa -- Colonisers and the African iron age -- The Regimento da Mina -- Early African trade in Angola -- Traditions, migrations and cannibalism -- Iberian conquistadores and African resisters in the Kongo kingdom -- Angola and the church -- Joseph Miller's Way of death -- The coffee barons of Cazengo -- Britain and the ultimatum of 1890 -- Colonialism in Angola : Kinyama's experience -- Youth and war in Angola -- The twenty-seventh of May -- Angola revisited -- Black and white in Angolan fiction;Athens Ohio University
00208;O indígena na formação do Brasil;Gutiérrez, Horacio;;;2006;p. 4-7;BRASIL;ÍNDIOS (HISTÓRIA) BRASIL|CULTURA INDÍGENA|COLONIZAÇÃO (ASPECTOS ECONÔMICOS) BRASIL;Periódico / Parte de livro;;São Paulo Academia
00029;Registro de estrangeiros, 1831-1839;Brasil Ministério da Justiça e Negócios Interiores. Arquivo Nacional;Rodrigues, José Honório;Auler, Guilherme;1962;536 p;Brazil;F2505 .B7|Aliens Brazil Registers|COLONIZAÇÃO (HISTÓRIA) 1831-1839 BRASIL|IMIGRAÇÃO (HISTÓRIA) 1831-1839 BRASIL|IMIGRANTES (REGISTRO) 1831-1839 BRASIL|Brazil Biography|Brazil Foreign relations Registers|Brazil Registers;Livro;;Rio de Janeiro
00785;Evolução politica do Brasil e outros estudos;Prado Júnior, Caio;;;1977;250 p;BRASIL;HISTÓRIA DO BRASIL POLÍTICA ECONOMIA SOCIEDADE|POLÍTICA E GOVERNO HISTÓRIA BRASIL|COLONIZAÇÃO IMPACTOS ECONÔMICOS|SEGUNDO REINADO (1840-1889) HISTÓRIA;Livro;10. ed;São Paulo Brasiliense
00572;Perfil microbiológico da colonização do sítio de inserção do cateter venoso central;Pereira, Gabriela Levorato;;Silveira, Renata Cristina de Campos Pereira;2015;50 p;;MICROBIOLOGIA|CATETERISMO VENOSO CENTRAL|ANTISSÉPTICOS;Tese;O uso do Cateter Venoso Central (CVC) viabiliza a assistência de alta complexidade aos pacientes críticos. Contudo, as infecções desses cateteres demonstram uma associação com a migração dos microrganismos da pele do local de inserção até a ponta do cateter. A utilização de novas tecnologias para reduzir a colonização cutânea no sítio de inserção do cateter reforça a questão da antissepsia cutânea e a sugestão do curativo adequado a esta região. As recomendações do Centers for Disease Control and Prevention (CDC) apontam como uma opção de curativo o uso da cobertura de filme transparente de poliuretano (FTP) que protege e facilita a visualização do sítio de inserção. Contudo, o uso do curativo gel de clorexidina (CGCHX), vem apresentado uma resposta superior na prevenção dessas colonizações e infecções. Diante do exposto, propôs-se identificar por meio de um estudo de corte transversal prospectivo, os microrganismos presentes no swab de pele após o uso do CGCHX e do FTP, no momento da retirada do CVC. Fizeram parte do estudo um total de 92 pacientes, destes 45 pacientes em uso do CGCHX e 47 utilizaram FTP, em ambos os grupos, a faixa etária foi em média 60 anos, declararam-se brancos e não houve diferença significativa entre o número de homens e mulheres. A escolha do sítio de inserção preferencial foi a veia jugular interna direita. Houve o crescimento em 13 amostras de Swabs no grupo do CGCHX os microrganismos encontrados foram Acinetobacter baumannii, Pseudomonas aeruginosa, Morganella morganii, Enterobater cloacae, Staphylococcus aereus e Staphylococcus epidermidis. O Staphylococcus aereus apresentou resistência a oxacilina, o que podemos sugerir a possibilidade de uma cepa MRSA. Quanto ao FTP foram seis amostras positivas com o crescimento de Serratia marcescens, Acinetobacter baumannii, Klebsiella pneumoniae, Staphylococcus epidermidis e;Ribeirão Preto
00594;Outros canibais Teatro jaguarizado contra a colonização do pensamento;Nigro, Kleber Ferreira;;Guimarães, Danilo Silva;2016;289 p;;TEATRO|CANIBALISMO|CONSTRUTIVISMO (PSICOLOGIA)|SEMIÓTICA|CULTURA|COLONIZAÇÃO;Tese;A presente dissertação se propõe a criar pontes entre certas manifestações das artes dramáticas contemporâneas e a Psicologia Cultural. Com esse fim, as próximas páginas se debruçarão sobre o projeto teatral Jaguar Cibernético, de autoria do teatrólogo Francisco Carlos, assim como sobre seu trabalho continuado dentro do teatro brasileiro por mais de 40 anos. Trataremos ainda das cercanias intelectuais, sociais e culturais de sua obra, que conta com mais de 40 espetáculos encenados, ainda pouco explorados pela Ciência;São Paulo
00566;Água e paisagem agrícola entre os grupos pré-hispânicos da Sabana de Bogotá, Colômbia;Gallo, Diana Lorena Rodríguez;;Scatamacchia, Maria Cristina Mineiro;2015;258 p;COLÔMBIA;"ARQUEOLOGIA DA PAISAGEM COLÔMBIA|CHIBCHAS (ASPECTOS AMBIENTAIS;ASPECTOS SANITÁRIOS;ASPECTOS SOCIOECONÔMICOS;ARQUEOLOGIA) COLÔMBIA|COLONIZAÇÃO (IMPACTOS SOCIAIS;IMPACTOS ECONÔMICOS;IMPACTOS FÍSICOS) COLÔMBIA|HIDRÁULICA APLICADA (ARQUEOLOGIA) COLÔMBIA|RECURSOS HÍDRICOS (ARQUEOLOGIA) COLÔMBIA|ÁGUA (ARQUEOLOGIA) COLÔMBIA|PALEOHIDROLOGIA (ASPECTOS SOCIAIS;ASPECTOS SOCIOECONÔMICOS) COLÔMBIA|PALEOECOLOGIA (ASPECTOS SOCIAIS;ASPECTOS SOCIOECONÔMICOS) COLÔMBIA";Tese;O Sistema Hidráulico de Campos Elevados de Cultivo, Camellones, construído ao longo de 2500 anos pelos grupos pré-hispânicos da Sabana de Bogotá, Colômbia, é o tema central da presente tese. O nosso trabalho focou na relação estabelecida entre estes grupos e a água, para determinar de que maneira a interação entre ambos levou a uma forma particular de exploração dos recursos e de ocupação do território. O objetivo geral da pesquisa foi entender como foi organizada a espacialidade e as atividades cotidianas, especificamente durante o período Muisca Tardio (1000 - 1550 DC), em torno do sistema hidráulico, isto é, como se construiu uma paisagem agrícola em um ecossistema de águas abertas, e como mudou essa paisagem com a colonização espanhola durante a segunda metade do século XVI. Apoiados nos conceitos e elementos teóricos da Arqueologia da Paisagem e da Ecologia Histórica, e nos dados arqueológicos, paleoambientais, documentais e na fotointerpretação, desenvolvemos uma análise que permitiu estabelecer que o sistema de camellones foi o resultado da inter-relação homem-meio em que os homens criaram uma forma de viver em um meio alagadiço e com grandes áreas de pântano permanente, construindo longos canais para controlar a água, criando áreas de mitigação das enchentes, obstruindo a confluência de alguns rios e elevando os campos para cultivo. A água, longe de ser um problema, se transformou no eixo de um sistema que não só provia alimentos mas também recursos derivados da pesca e da caça. Esta paisagem mudou drasticamente com a colonização espanhola, já que ela transformou o sistema social e produtivo dos Muiscas, o qual sustentava o sistema hidráulico. A mudança na forma de posse da terra, no tipo de plantas cultivadas, na introdução de elementos completamente alheios como o gado, somado à queda populacional, ao rompimento dos laços comunitários tradicionais, enfim, o desabamento do mundo que até;São Paulo
2728306982_(cart.);Eubéens en Calabre à l'époque archaïque formes de contacts et d'implantation;Mercuri, Laurence;;;2004;325 p;"EUBÉIA;ITÁLIA";"RELAÇÕES INTERNACIONAIS EUBÉIA;ITÁLIA|ARQUEOLOGIA ITÁLIA|COLONIZAÇÃO GRÉCIA;ITÁLIA|Eubea (Grècia) Relacions exteriors|Calàbria (Itàlia) Relacions exteriors|Calàbria (Itàlia) Arqueologia";Livro;;Rome Ecole française
00836;Breve memoria acerca do apparecimento estabelecimento dos hespanhoes e portuguezes na America e das aptidões colonisadoras d'estes dois povos lida no Congresso Geographico Colombiano de Madrid em outubro de 1892;Mendonça, José Freire Temudo de Oliveira Fialho de Visconde de Tramagal;;;1892;19 p;;COLONIZAÇÃO|HISTÓRIA DA AMÉRICA DO SUL|HISTÓRIA DA AMÉRICA CENTRAL|ESPANHÓIS|PORTUGUESES;Livro;;Coimbra Imprensa da
9786586616989;Bens dos jesuítas bens livres e de encargo pertencentes aos Colégios de Olinda, Recife, Paraíba e Ceará;Verri, Gilda Maria Whitaker;;Pereira, Ana M. Santos;2021;394 p. : il. color;BRASIL NORDESTE;JESUÍTAS HISTÓRIA SÉCULO 18 BRASIL NORDESTE|COLONIZAÇÃO HISTÓRIA BRASIL|BRASIL HISTÓRIA 1822;Livro;Inclui índices onomástico, toponímico;Recife Cepe
0715632981_(pbk.);Ancient colonizations analogy, similarity and difference;Hurst, H. R. (Henry R.);;Owen, Sara;2005;viii, 165 p.;;CC77.H5 A52 2005|JV71 .A63 2005|Colonization History.|COLONIZAÇÃO (HISTÓRIA)|ARQUEOLOGIA HISTÓRICA;Livro;;London Duckworth
00756;Crítica Anticolonial no Império Português perspectivas culturais e políticas;Machado, Adelaide Vieira;Garmes, Hélder;Assunção, Marcello Felisberto Morais de;2023;p. 13-41;;COLONIZAÇÃO CRÍTICA;Periódico / Parte de livro;Disponível em: https://www.scielo.br/j/rbh/a/XpPDSt5k4DFVrQRJhbDCpgz/?lang=pt#. Acesso em: 15 set. 2023;São Paulo
00535;Geometric morphometrics throws light on evolution of the subterranean catfish Rhamdiopsis krugi (Teleostei: Siluriformes: Heptapteridae) in eastern Brazil;Bichuette, Maria Elina;"Rantin, Bianca; Hingst-Zaher, Erika";Trajano, Eleonora;2014;p. 1-16;CHAPADA DIAMANTINA (BA);PEIXES DE CAVERNAS|MORFOMETRIA|EVOLUÇÃO|BAGRE|TELEOSTEI|SILURIFORMES|HEPTAPTERIDAE|COLONIZAÇÃO|MORFOLOGIA ANIMAL|CAVERNAS CHAPADA DIAMANTINA (BA);Periódico / Parte de livro;Disponível em: <http://dx.doi.org/ 10.1111/bij.12405>. Acesso em: 21 out. 2014;West Sussex
888096514X;"Il dinamismo della colonizzazione greca atti della Tavola rotonda ""Espansione e colonizzazione greca di età arcaica : metodologie e problemi a confronto"" : Venezia, 10-11/11/1995";"Tavola rotonda ""Espansione e colonizzazione greca di età arcaica"" (1995 : Venice, Italy)";Antonetti, Claudia;Università degli studi di Venezia Dipartimento di scienze dell'antichità e del Vicino Oriente.;1997;178 p.;GRÉCIA ANTIGA;"DF85 .T386 1995|COLONIZAÇÃO (ASPECTOS CULTURAIS;ASPECTOS SOCIAIS;ASPECTOS RELIGIOSOS) GRÉCIA ANTIGA|HELENISMO (ASPECTOS CULTURAIS;ASPECTOS SOCIO-POLITICOS)";Livro;At head of title: Università Ca' Foscari di Venezia, Facoltà di lettere e filosofia, Dipartimento di scienze dell'antichità e del Vicino Oriente;Napoli Loffredo
00051;Estratificação social numa área de colonização do Rio Grande do Sul;Riedl, Mario;;;1970;84 leaves;Rio Grande do Sul, Brazil (State);HN290.R48 R53|Social classes Rio Grande do Sul, Brazil (State)|SOCIOLOGIA RURAL|ESTRATIFICAÇÃO SOCIAL|COLONIZAÇÃO RIO GRANDE DO SUL|Rio Grande do Sul (Brazil) Rural conditions;Livro;;Pôrto Alegre Universidade
9788526815711;Novo Mundo metamorfoses da colonização;Moraes, João Quartim de;;Silva, Ligia Osorio;2022;262 p;AMÉRICA LATINA;HISTÓRIA LATINO-AMERICANA|COLONIZAÇÃO HISTÓRIA AMÉRICA LATINA|INDÍGENAS HISTÓRIA AMÉRICA LATINA|ESCRAVIDÃO HISTÓRIA AMÉRICA LATINA;Livro;;Campinas Unicamp
9789898434319;Os portugueses no Brasil imigração espontânea, imigração compulsória e colonização;Arruda, José Jobson de A. (José Jobson de Andrade);;;2014;p. 17-37;"BRASIL;PORTUGAL";"MIGRAÇÃO BRASIL;PORTUGAL|COLONIZAÇÃO BRASIL";Periódico / Parte de livro;;Porto
00618;Effect of 10-valent pneumococcal conjugate vaccine on nasopharyngeal carriage of Streptococcus pneumoniae and Haemophilus influenzae among children in São Paulo, Brazil;Brandileone, Maria-Cristina de C.;"Zanella, Rosemeire C.; Almeida, Samanta C.G.; Brandao, Angela P.; Ribeiro, Ana F.; Carvalhanas, Telma-Regina M.P.; Sato, Helena; Andrade, Ana-Lúcia; Verani, Jennifer R.; Sato, Ana Paula Sayuri";Pneumococcal Carriage Study Group;2016;p. 5604–5611;ESTUDOS SOROEPIDEMIOLÓGICOS;STREPTOCOCCUS|HAEMOPHILUS|INFECÇÕES ESTREPTOCÓCICAS|VACINAS|COLONIZAÇÃO|SOROS|ESTUDOS SOROEPIDEMIOLÓGICOS;Periódico / Parte de livro;Disponível em: <https://doi.org/10.1016/j.vaccine.2016.09.027>. Acesso em 21 ago. 2017.;Guildford
00134;Olhos do barão, boca do sertão uma pequena história da fotografia e da cartografia no noroeste do território paulista (da segunda metade do século XIX ao início do século XX);Cavenaghi, Airton José;;Silva, Marcos;2004;313 p;"SÃO PAULO;NOROESTE";"COLONIZAÇÃO século 19-20 SÃO PAULO;NOROESTE|URBANIZAÇÃO";Tese;Este estudo busca uma interpretação do processo de colonização do interior da Província e do Estado de São Paulo, em especial da sua região Noroeste, da segunda metade do século XIX ao início do século XX, tendo como ponto de partida sua capital. Esta interpretação historiográfica navega pelo conhecimento e exposição de duas fontes documentais centrais: a cartografia e a fotografia. Elabora-se uma análise do material fotográfico recolhido e organizado pelo Barão Homem de Mello, entre 1855 e 1886, em conjunto como o estudo do material cartográfico produzido sobre o território paulista, entre 1837 e 1909, com os quais analisa-se o contexto sociocultural formativo da região. Essa construção analítica baseia-se na fusão desses dois materiais, fotográficos e cartográficos, e busca elaborar um textual histórico sobre a sociedade paulista na época, além de resgatar um documental pouco usual para a análise historiográfica. Ao intercalar-se diferentes suportes documentais na construção deste textual histórico, objetiva-se demonstrar diferentes possibilidades de uso da iconografia como propagadora de uma ideologia dominante;São Paulo
00228;Políticas cartográficas no continente sulamericano durante a segunda metade do século XVIII;Kantor, Iris;;Simpósio Nacional de História - ANPUH 2007 São Leopoldo);2007;p. 558;AMÉRICA DO SUL;COLONIZAÇÃO AMÉRICA DO SUL|CARTOGRAFIA;Periódico / Parte de livro;;São Leopoldo Oikos
8439983492;Tapices de historia patria esquema de una morfología de la cultura colonial;Briceño-Iragorry, Mario;;;1978;198 p;VENEZUELA;F2322 .B76 1978|HISTÓRIA DA VENEZUELA|COLONIZAÇÃO VENEZUELA|Venezuela History;Livro;5. ed;Caracas Cultural Venezolana
00832;Direito de integração sul-americano ordem jurídica e sistema-mundo/colonial;Carneiro, Cynthia S.;;;2011;p. 352-389;AMÉRICA LATINA;INTEGRAÇÃO SOCIAL AMÉRICA LATINA|INTEGRAÇÃO ECONÔMICA AMÉRICA LATINA|COLONIZAÇÃO|ORDEM JURÍDICA INTERNACIONAL;Periódico / Parte de livro;;Belo Horizonte Editora
