identifier;titulo;autor;co_autor;orientador;data;paginas;local_publicacao;subjects;modelo_trabalho;descricao;local_defesa
8532705006;Histórias de vida de professoras negras trajetórias de sucesso;Nascimento, Cleonice Ferreira do;Müller, Maria Lúcia Rodrigues;Costa, Candida Soares da;2013;79 p;;MULHERES|IDENTIDADE ÉTNICA|GRUPOS ÉTNICOS|RACISMO;Livro;;Cuiabá, MT
00485;Diversidade, racismo e educação;Pereira, João Baptista Borges;;;2001;p. 13-30;;RACISMO|MARGINALIDADE SOCIAL|DISCRIMINAÇÃO RACIAL;Periódico / Parte de livro;;Niterói
0-934540-24-1;Race and inequality a study in american values;Sniderman, Paul M;;Hagen, Michael Gray;1985;159 p;;ESTRATIFICAÇÃO SOCIAL|RACISMO (SOCIOLOGIA);Livro;;New Jersey Chatham
00283;No limiar do ano 2000 , nao ha mais formas institucionalizadas de racismo ... [Apresentacao];Munanga, Kabengele;;;1996;p.11-3;;RACISMO (SOCIOLOGIA)|HISTÓRIA DO BRASIL;Periódico / Parte de livro;;São Paulo EDUSP/Estacao
00048;O preconceito de cor na literatura de cordel tentativa de análise sociológica;Moura, Clóvis;;;1976;87 p.;Brazil;PQ9621 .M6|Popular literature Brazil History and criticism|Chapbooks, Brazilian History|Blacks in literature|Racism in literature|RACISMO (SOCIOLOGIA)|LITERATURA DE CORDEL;Livro;;São Paulo Editora
00101;"Reflexões sôbre o racismo I Reflexões sôbre a questão judaica; II Orfeu negro";Sartre, Jean-Paul;Guinsburg, Jacó;Guillaume, Jean;1963;125 p;;JUDEUS|NEGROS|ANTISSEMITISMO|RACISMO;Livro;3. ed;São Paulo Difusão
2-86959-005-9;Racismes;Etiemble, Rene;;;1986;219 p;;JUDEUS|RACISMO (SOCIOLOGIA);Livro;;Paris Arlea
0415915775_(cloth_acid-free_paper);Fugitive cultures race, violence, and youth;Giroux, Henry A.;;;1996;viii, 247 p.;United States;HQ796 .G526 1996|Youth United States Social conditions|Mass media and youth United States|Popular culture United States|Working class United States|Multiculturalism United States|ADOLESCENTES (CONDICÕES SOCIAIS) ESTADOS UNIDOS|JOVENS (CONDICÕES SOCIAIS) ESTADOS UNIDOS|VIOLÊNCIA ESTADOS UNIDOS|RACISMO ESTADOS UNIDOS|DISCRIMINAÇÃO RACIAL ESTADOS UNIDOS;Livro;Pt.I. Race, violence, and children's culture. White panic and the racial coding of violence -- Racism and the aesthetic of hyper-real violence: Pulp fiction and other visual tragedies -- Animating youth: the Disneyfication of c hildren's culture. Pt.II. Public intellectuals and populist persuasions. Public intellectuals and postmodern youth -- Talking heads and radio pedagogy: microphone politics and the new public intellectuals. Pt.III. The way thing s ought not to be: race and national identity. Licensing bigotry without being politically correct -- The milk ain't clean: national identity and multiculturalism;New York Routledge
2719304697;Le Couple interdit entretiens sur le racisme : la dialectique de l'altérité socio-culturelle et la sexualité : actes du colloque tenu en mai 1977 au Centre culturel international de Cerisy-la-Salle;Poliakov, Léon;;Centre culturel international de Cerisy-la-Salle;c1980;258 p.;;HQ1031 .C65|Intermarriage Congresses|Interracial marriage Congresses|CASAMENTO (SOCIOLOGIA)|HISTÓRIA|RACISMO (SOCIOLOGIA);Livro;;Paris Mouton c1980
8576000040;De preto a afro-descendente trajetos de pesquisa sobre o negro, cultura negra e relações étnico-raciais no Brasil;Barbosa, Lúcia Maria de Assunção;;;2004;345 p.;BRASIL;RELAÇÕES ÉTNICAS E RACIAIS BRASIL|RACISMO|ESCRAVIDÃO|IDENTIDADE CULTURAL|DESIGUALDADES SOCIAIS;Livro;1a reimpr;São Carlos Editorial
00458;Poesia versus racismo;Bosi, Alfredo;;;2002;p. 235-253;;LITERATURA BRASILEIRA|NEGROS|RACISMO;Periódico / Parte de livro;Disponível em: http://www.scielo.br/pdf/ea/v16n44/v16n44a15.pdf;São Paulo
00912;Projeto Humanização do parto e nascimento questões étnicas/raciais e de gênero (depoimento e entrevista);Batista, Luís Eduardo;"Malinverni, Claudia; Santos, Amadeu dos";Universidade de São Paulo Faculdade de Saúde Pública;2012;4 min 20 seg (depoimentos), 5 min 33 seg (entrevista);;PARTO (HUMANO)|HUMANIZAÇÃO DA ASSISTÊNCIA|NASCIMENTO (HUMANO)|RACISMO|SERVIÇOS DE SAÚDE MATERNA|MORTALIDADE MATERNA|GRUPOS ÉTNICOS;Livro;Referente a capítulo do livro Nascer com equidade: humanização do parto e do nascimento : questões raciais: de cor e de gênero organizado por Suzana Kalckmann ... [et al.].;São Paulo
8587478230;O sortilégio da cor identidade, raça e gênero no Brasil;Nascimento, Elisa Larkin;;;2003;412 p;Brazil;"F2659.N4 N385 2003|Blacks Brazil Social conditions|Blacks Brazil Politics and government|Racism Brazil|Sexism Brazil|IDENTIDADE ÉTNICA BRASIL|NEGROS BRASIL|RACISMO BRASIL|AFRODESCENDENTES (ASPECTOS CULTURAIS;CONDIÇÕES SOCIAIS) BRASIL";Livro;Originally presented as the author's thesis (doctoral)--Universidade de São Paulo;São Paulo Selo
8586932205;O racismo explicado à mminha filha;Ben Jelloun, Tahar;;Seincman, Monica;2000;104 p;;RACISMO|CRIANÇAS;Livro;;São Paulo Via
00908;Executivos negros racismo e diversidade no mundo empresarial. Uma abordagem socio-antropológica;Coêlho Junior, Pedro Jaime de;;Munanga, Kabengele;2011;553 p;;NEGROS (DISCRIMINAÇÃO)|DISCRIMINAÇÃO RACIAL|RACISMO|EXECUTIVOS;Tese;"Este trabalho propõe uma abordagem socio-antropológica para pensar as trajetórias profissionais de executivos negros em São Paulo. Ele está estruturado a partir da seguinte problematização: a) Que mudanças aconteceram na construção das trajetórias profissionais de executivos negros em São Paulo entre o final dos anos 1970 e o início do século XXI? b) De que forma essas mudanças se relacionam com as transformações que se produziram no contexto societal, sobretudo no que se refere à questão racial, na sociedade brasileira e, portanto também em São Paulo, no mesmo período? c) Essas transformações favorecem ou inibem o processo de construção de si mesmos como sujeitos entre os executivos negros? O trabalho de campo foi realizado em São Paulo entre 2006 e 2008. A sua abordagem metodológica foi qualitativa e consistiu de uma dupla estratégia de investigação: reconstrução de narrativas biográficas e etnografia. Os resultados evidenciam que: a) Comparando-se o final dos anos 1970 e o início do século XXI é possível perceber uma grande mudança na construção das trajetórias profissionais de executivos negros em São Paulo, que remete à passagem de estratégias individuais à ação coletiva; b) Essa mudança reflete uma importante transformação no contexto societal, que diz respeito à maior politização dos debates sobre a questão racial travados no espaço público brasileiro (e também em São Paulo) desde o final do século XX. Fenômeno este que é fruto de alterações na estratégia política do";São Paulo
00522;Sonhar o futuro, mudar o presente diálogos contra o racismo, por uma estratégia de inclusão racial no Brasil;;;;19--;60 p;BRASIL;NEGROS (ASPECTOS SOCIAIS) BRASIL|RACISMO BRASIL|DISCRIMINAÇÃO RACIAL BRASIL;Livro;;Rio de Janeiro
00062;Civilization and group relationships;MacIver, Robert Morrison;;;1945;;;RACISMO (SOCIOLOGIA);Livro;;New York Institute
1588260267_(alk._paper);Beyond racism race and inequality in Brazil, South Africa, and the United States;Hamilton, Charles V.;;;2001;xvi, 629 p.;Brazil;F2659.N4 B49 2001|Blacks Brazil Social conditions|Racism Brazil|Equality Brazil|Blacks South Africa Social conditions|Racism South Africa|Equality South Africa|Blacks United States Social conditions|Racism United States|Equality United States|GRUPOS ÉTNICOS|RACISMO (SOCIOLOGIA)|Brazil Race relations|South Africa Race relations|United States Race relations;Livro;;Boulder, Colo. Lynne
00992;Mary Seacole e Maria Soldado enfermeiras negras que fizeram história;Oguisso, Taka;"Löw, Lily; Colóquio de História da Enfermagem 2013 Ribeirão Preto)";Simpósio do Laboratório de Estudos em História da Enfermagem - LAESHE 2013 Ribeirão Preto);2013;res. 113;;HISTÓRIA DA ENFERMAGEM|RACISMO;Periódico / Parte de livro;Disponível em: <http://www2.eerp.usp.br/laeshe/sites/default/files/Anais%202o%20Coloquio%20de%20Historia%20da%20Enfermagem%20e%201o%20Simposio%20do%20Laboratorio%20de%20Estudos%20em%20Historia%20da%20Enfermagem.pdf>. Acesso em: 03 jan. 2014;Ribeirão Preto
